geoid,name,state,pop,historicalPersistenceScore,outlook,historicalWinnerIndex,mechanismScore,mechanismRealLogGrowth,historicalRelativeGrowth,structuralScore,valuationGap,modelDisagreement,zhvi2025,medianValue,housingMarketEligible,confidence,confidenceReasons,engines,human,access,regen,gateway,amenity,scarcity,health,distress,tags,positives,negatives
3253800,Pahrump CDP,NV,45811,0.655,0.655,0.3868,-1.002,-0.664,-0.038,-0.549,-1.569,1.657,366190,283400,1,high,,-0.6,-0.53,0.23,-0.28,0.12,0.55,-1.07,-0.97,-0.42,,,institutional engines; human capital
4718540,Crossville city,TN,12265,-0.305,-0.305,0.193,-0.542,-0.381,0.008,-0.601,-1.566,0.237,308371,230300,1,high,,-0.37,-0.36,-0.41,0,-0.21,0.06,-0.53,-0.41,-0.33,,,
2811100,Canton city,MS,10863,-0.499,-0.499,0.154,-0.049,-0.077,0.021,-0.476,-1.562,0.45,224988,111800,1,high,,-0.29,-0.05,-0.46,0.24,-0.39,-0.28,-0.25,-0.21,-0.15,,,
5666220,Riverton city,WY,10803,-0.086,-0.086,0.2372,0.342,0.163,-0.024,-1.074,-1.556,0.428,269416,204900,1,high,,0.13,-0.24,-2.36,0.1,-0.51,0.01,0.25,0.03,-0.11,,,market access
0644910,McKinleyville CDP,CA,17152,0.107,0.107,0.2761,-0.002,-0.048,-0.035,-0.114,-1.55,0.109,508301,414200,1,high,,0.39,0.3,-1.38,0.18,-0.31,-0.03,0,0.43,-0.45,,,market access
4163650,Roseburg city,OR,23773,0.169,0.169,0.2887,-0.346,-0.26,-0.014,-0.33,-1.547,0.515,365067,266600,1,high,,0.02,-0.2,-1.02,0.08,-0.41,-0.15,0.56,0.62,-0.56,,,market access
1666340,Rathdrum city,ID,10133,-0.802,-0.802,0.0927,0.147,0.043,-0.045,-0.42,-1.543,0.949,568796,381800,1,high,,-0.23,-0.22,-0.31,0.24,-0.5,-0.34,-0.78,-0.19,-0.69,,,
1641320,Jerome city,ID,12689,1.324,1.324,0.5218,0.251,0.108,0.017,-0.577,-1.536,1.072,396442,214900,1,high,,-0.34,-0.74,-1.33,0.57,1.76,-0.24,0.2,-1.02,-0.77,,immigrant gateway,market access; human capital
0453700,Payson town,AZ,16494,0.943,0.943,0.445,-0.517,-0.366,-0.017,-0.267,-1.502,1.461,453457,343200,1,high,,-0.22,-0.01,-0.65,-0.25,-0.3,0.98,-0.08,0.23,-0.21,,,market access
4741760,Lenoir City city,TN,10681,-0.12,-0.12,0.2304,-0.201,-0.171,-0.014,-0.311,-1.501,0.081,411689,214300,1,high,,-0.35,0.06,-0.14,0.1,0.02,-0.25,-0.3,-0.64,-0.23,,,
3004975,Belgrade city,MT,11425,-0.689,-0.689,0.1155,0.224,0.091,-0.042,-0.453,-1.487,0.913,559850,469600,1,high,,-0.41,0.42,-1.29,1.02,-0.42,-0.31,-0.45,-0.45,-0.81,,demographic regeneration,market access; institutional engines
2171688,Somerset city,KY,12108,0.553,0.553,0.3662,-0.384,-0.283,0.029,-0.462,-1.479,0.936,205517,140900,1,high,,-0.08,-0.23,-0.69,0.11,-0.37,0.01,0.03,0.19,0.04,,,market access
4745100,McMinnville city,TN,13765,0.108,0.108,0.2764,-0.682,-0.467,0.008,-0.594,-1.474,0.791,252840,147200,1,high,,-0.31,-0.51,-0.06,0.1,0.04,0,0.39,-0.92,0.58,,,human capital
4130550,Grants Pass city,OR,39183,0.054,0.054,0.2656,-0.243,-0.197,-0.03,-0.2,-1.471,0.297,402921,364200,1,high,,0.05,-0.23,-0.8,0.1,-0.36,-0.11,0.68,0.34,-0.71,,,market access
3886220,Williston city,ND,27964,-0.756,-0.756,0.1021,0.108,0.019,-0.099,-1.244,-1.468,0.864,354936,262700,1,high,,-0.02,-0.23,-1.97,0.8,0.36,-0.18,-1.34,0.31,1.91,,,market access; distress vacancy
2626360,Escanaba city,MI,12374,-0.041,-0.041,0.2464,-0.609,-0.422,-0.021,-1.306,-1.458,0.568,163205,116600,1,high,,-0.28,-0.51,-1.84,-0.11,-0.61,0.14,0.34,-0.24,0.1,,,market access; human capital
0873935,Sterling city,CO,13273,0.394,0.394,0.3341,-0.253,-0.203,0.003,-0.696,-1.457,0.647,243264,205200,1,high,,0.13,-0.59,-1.54,0.24,-0.16,-0.1,0.58,-0.08,-0.45,,,market access; human capital
0547390,Mountain Home city,AR,13021,-0.303,-0.303,0.1934,-0.573,-0.4,-0.019,-0.665,-1.457,0.27,235127,160200,1,high,,-0.1,-0.43,-1.12,0.23,-0.53,-0.31,0.12,0.31,-0.49,,,market access
0530460,Harrison city,AR,13217,0.147,0.147,0.2842,-0.604,-0.419,0.017,-0.62,-1.451,0.75,231021,165000,1,high,,-0.22,-0.26,-0.84,0.02,-0.49,-0.22,0.31,0.16,-0.22,,,market access
0623042,Eureka city,CA,26302,0.301,0.301,0.3154,-0.207,-0.175,-0.031,-0.173,-1.444,0.508,427094,375800,1,high,,0.3,0.03,-1.4,0.04,0.11,0.08,0.88,0.45,-0.17,,,market access
