code2020,bachelorShare,collegeEnrollShare,students18_24,taxableIncomePerTaxpayerThousandYen,otherVacancyShare
01100,0.1612,,123526,3038.63,0.02869
01202,0.09449,,14593,2721.55,0.06339
01203,0.09796,,7137,2488.35,0.07924
01204,0.10428,,16170,2718.09,0.04439
01205,0.09177,,5900,2830.6,0.06973
01206,0.084,,9475,2683.52,0.05079
01207,0.09645,,8293,2858.39,0.02631
01208,0.09247,,7026,2760.05,0.05978
01209,0.06378,,244,2152.73,0.09361
01210,0.10222,,5140,2622.75,0.04628
01211,0.09759,,2842,2945.16,0.05417
01212,0.08566,,732,2698.34,0.10486
01213,0.08408,,8140,2789.88,0.04794
01214,0.07032,,1528,2955.58,0.08084
01215,0.06653,,1486,2456.15,0.10033
01216,0.05556,,613,2264.35,0.12737
01217,0.15241,,13310,2729.25,0.02704
01218,0.04393,,385,2271.95,0.08333
01219,0.08347,,841,2875.98,0.06476
01220,0.0632,,689,2746.55,0.07692
01221,0.07628,,1713,2797.24,0.05032
01222,0.04803,,322,2236.96,0.1926
01223,0.06166,,1053,2872.03,0.0521
01224,0.09818,,5369,2866.42,0.03215
01225,0.0839,,2026,2626.26,0.05855
01226,0.07827,,777,2666.07,0.07095
01227,0.03602,,123,2123.06,0.1203
01228,0.08,,1173,2557.35,0.0399
01229,0.08286,,1014,2704.99,0.0711
01230,0.07248,,2536,2538.01,0.06755
01231,0.10874,,5392,2763.2,0.02656
01233,0.09403,,1491,2627.61,0.07236
01234,0.15503,,4194,2787.23,0.02903
01235,0.10251,,3152,2543.35,0.04504
01236,0.06545,,2276,2483.18,0.05761
01303,0.09851,,1809,2640.53,
01304,0.0544,,317,2422.22,
01331,0.03919,,245,2783.52,
01332,0.02681,,151,2745.57,
01333,0.04627,,167,2396.52,
01334,0.04923,,204,2430.58,
01337,0.08324,,1289,2447.09,
01343,0.05826,,250,2519.65,
01345,0.0483,,590,2539.64,
01346,0.06693,,618,2837.88,
01347,0.05632,,473,3114.43,
01361,0.08392,,261,2806.8,
01362,0.03755,,191,2561.23,
01363,0.06908,,116,2710.46,
01364,0.04466,,143,2481.14,
01367,0.05838,,76,2950.21,
01370,0.06293,,240,2582.84,
01371,0.05341,,233,2518.41,
01391,0.03972,,40,2751.48,
01392,0.07081,,94,2744.51,
01393,0.09504,,114,2494.96,
01394,0.07133,,201,2485.86,
01395,0.13029,,192,2461.31,
01396,0.07826,,114,2715.81,
01397,0.09784,,86,2576.01,
01398,0.08151,,54,2271.47,
01399,0.09008,,79,2596.39,
01400,0.12809,,467,2953.1,
01401,0.08185,,196,2860.29,
01402,0.0666,,529,2655.68,
01403,0.07476,,49,2694.11,
01404,0.0607,,17,2803.84,
01405,0.05225,,78,2425.18,
01406,0.04766,,99,2332.07,
01407,0.07364,,146,2600.39,
01408,0.08619,,1081,2473.87,
01409,0.11437,,30,2578.39,
01423,0.08575,,690,2583.09,
01424,0.06221,,235,2464.67,
01425,0.0307,,142,2009.48,
01427,0.05641,,232,2442.7,
01428,0.08127,,543,2732.75,
01429,0.0744,,584,2503.25,
01430,0.06164,,154,2542.09,
01431,0.05208,,74,2416.2,
01432,0.06062,,260,2485.94,
01433,0.04257,,126,2300.24,
01434,0.0598,,123,2369.22,
01436,0.05528,,273,2386.86,
01437,0.0509,,92,2451.14,
01438,0.06719,,157,2537.3,
01452,0.07613,,272,2646.41,
01453,0.10063,,501,2840.99,
01454,0.05697,,246,2354.46,
01455,0.05681,,136,2482.96,
01456,0.06054,,112,2497.15,
01457,0.07708,,129,2324.08,
01458,0.09058,,435,2533.18,
01459,0.07674,,416,2552.24,
01460,0.05051,,431,2664.73,
01461,0.0647,,260,2770.01,
01462,0.07799,,92,2779.17,
01463,0.13372,,35,2588.51,
01464,0.04465,,112,2571,
01465,0.04793,,144,2621.41,
01468,0.06693,,151,2687.43,
01469,0.07731,,264,2617.01,
01470,0.12036,,160,2784.36,
01471,0.09037,,49,2931.32,
01472,0.07271,,69,2822.82,
01481,0.06008,,120,2548.93,
01482,0.0645,,175,2616.11,
01483,0.05085,,152,2748.44,
01484,0.05994,,199,2569.2,
01485,0.05862,,33,2977.41,
01486,0.05645,,109,2771.76,
01487,0.08377,,114,2895.51,
01511,0.08551,,49,7844.62,
01512,0.07319,,95,3291.42,
01513,0.06136,,45,2697.36,
01514,0.06212,,246,3721,
01516,0.06338,,139,2637.06,
01517,0.05423,,68,3080.59,
01518,0.06541,,71,2934.35,
01519,0.0533,,84,2809.05,
01520,0.12821,,60,3019.72,
01543,0.05791,,780,2698.77,
01544,0.055,,194,2636.47,
01545,0.07876,,440,3484.63,
01546,0.06976,,153,2804.16,
01547,0.06893,,153,2809.54,
01549,0.06824,,182,2758.17,
01550,0.07209,,151,2636.67,
01552,0.06735,,165,3458.96,
01555,0.0715,,728,2722.41,
01559,0.06032,,353,3147.42,
01560,0.08921,,73,2622.71,
01561,0.0786,,118,3684.56,
01562,0.08761,,23,2769.9,
01563,0.06188,,138,3632.54,
01564,0.07498,,300,2860.17,
01571,0.07567,,155,2636.34,
01575,0.0803,,75,2472.73,
01578,0.0607,,809,2411.05,
01581,0.09167,,189,2800.88,
01584,0.07032,,372,2468.83,
01585,0.08072,,357,4447.08,
01586,0.06176,,397,2610.58,
01601,0.07803,,440,2774.2,
01602,0.07802,,178,2859.34,
01604,0.06736,,180,2621.19,
01607,0.0992,,575,2831.65,
01608,0.05013,,153,2575.73,
01609,0.05334,,179,2861.97,
01610,0.07226,,888,2624.53,
01631,0.08805,,1838,2732.77,
01632,0.08553,,191,3203.68,
01633,0.07825,,121,3091.23,
01634,0.08689,,203,3163.75,
01635,0.10076,,207,2635.23,
01636,0.08363,,340,2761.67,
01637,0.09241,,776,2886.38,
01638,0.11443,,274,2930.33,
01639,0.08872,,120,3234.93,
01641,0.07787,,151,2916.09,
01642,0.07345,,257,2915.06,
01643,0.08271,,1041,2686.95,
01644,0.08322,,274,2646.21,
01645,0.06355,,85,3030.41,
01646,0.06436,,390,2721.13,
01647,0.06836,,191,2861.59,
01648,0.05849,,55,2948.04,
01649,0.05533,,145,2798.62,
01661,0.06065,,1060,2576.26,
01662,0.05427,,417,2874.82,
01663,0.06841,,230,2919.25,
01664,0.07349,,346,2845.35,
01665,0.07364,,253,2619.64,
01667,0.1166,,90,2799.55,
01668,0.05187,,370,2401.32,
01691,0.07944,,513,3260.03,
01692,0.08711,,975,2841.06,
01693,0.07804,,200,3109.27,
01694,0.04358,,228,3067.26,
02201,0.12281,,15790,2712.17,0.0433
02202,0.11501,,12833,2737.76,0.05573
02203,0.10464,,11996,2742.59,0.05411
02204,0.06681,,1885,2205.59,0.08255
02205,0.07026,,2701,2457.39,0.08042
02206,0.09239,,4097,2552.11,0.05943
02207,0.10342,,1749,2874.76,0.08734
02208,0.07876,,2201,2708.11,0.09454
02209,0.0411,,1633,2198.2,0.08359
02210,0.05361,,1641,2306.65,0.06234
02301,0.0459,,538,2146.88,
02303,0.02887,,95,2188.66,
02304,0.04043,,140,2176.95,
02307,0.03039,,196,2298.32,
02321,0.05514,,454,2216.78,
02323,0.04022,,338,2174.84,
02343,0.05328,,58,2220.16,
02361,0.06436,,836,2326.93,
02362,0.05467,,500,2133.36,
02367,0.05621,,385,2179.69,
02381,0.05055,,770,2855.85,
02384,0.03742,,668,2207.82,
02387,0.02269,,549,2253.37,
02401,0.06797,,565,2415.93,
02402,0.06397,,672,2375.63,
02405,0.05941,,416,2457.19,
02406,0.06016,,157,2318.74,
02408,0.04591,,699,2371.46,
02411,0.11697,,351,2820.26,
02412,0.06235,,1118,2521.74,
02423,0.06148,,216,3130.94,
02424,0.05565,,219,2510.54,
02425,0.04649,,78,2288.75,
02426,0.03344,,45,2293.62,
02441,0.05684,,447,2198,
02442,0.05711,,816,2371.55,
02443,0.03856,,224,2233.83,
02445,0.05773,,879,2336.16,
02446,0.04459,,1419,2456.15,
02450,0.03186,,64,2184.01,
03201,0.17165,,21077,3056.05,0.04936
03202,0.07176,,2387,2612.97,0.09069
03203,0.07468,,2062,2633.14,0.06986
03205,0.09576,,5138,2498.09,0.07518
03206,0.10488,,4409,2710.63,0.05542
03207,0.0693,,1569,2612.81,0.09752
03208,0.05894,,1148,2302.74,0.10789
03209,0.0783,,5681,2507.94,0.09667
03210,0.06768,,851,2586.14,0.06045
03211,0.07543,,1233,2665.73,0.08582
03213,0.0661,,1286,2374.71,0.10058
03214,0.05169,,1203,2326.22,0.08026
03215,0.0779,,5491,2519.65,0.08568
03216,0.10403,,4162,2568.41,
03301,0.0632,,871,2306.59,
03302,0.03876,,242,2234.48,
03303,0.0487,,704,2347.93,
03321,0.09273,,1786,2520.18,
03322,0.11628,,2019,2660.8,
03366,0.04896,,173,2300.53,
03381,0.07229,,813,2578.27,
03402,0.05781,,348,2329.34,
03441,0.05529,,234,2315.89,
03461,0.04488,,588,2571.08,
03482,0.04442,,696,2438.56,
03483,0.05356,,307,2246.67,
03484,0.04109,,121,2319.78,
03485,0.0337,,115,2166.37,
03501,0.03616,,429,2175.68,
03503,0.03716,,256,2409.91,
03506,0.02967,,296,2037.83,
03507,0.03869,,751,2387.79,
03524,0.05247,,528,2281.37,
04100,0.20878,,76648,3357.61,0.03438
04202,0.07057,,7479,2878.22,0.06607
04203,0.11609,,3106,2718.18,0.05585
04205,0.06215,,2906,2696.47,0.08176
04206,0.09374,,1855,2535.82,0.0537
