code2020,bachelorShare,collegeEnrollShare,students18_24,taxableIncomePerTaxpayerThousandYen,otherVacancyShare
01691,0.07944,,513,3167.65,
01692,0.08711,,975,2780.72,
01693,0.07804,,200,3002.79,
01694,0.04358,,228,3066.44,
02201,0.12281,,15790,2749.34,0.03966
02202,0.11501,,12833,2693.28,0.05279
02203,0.10464,,11996,2722.99,0.05174
02204,0.06681,,1885,2197.39,0.0675
02205,0.07026,,2701,2483.64,0.08346
02206,0.09239,,4097,2544.57,0.04831
02207,0.10342,,1749,3063.36,0.06572
02208,0.07876,,2201,2716.92,0.08369
02209,0.0411,,1633,2233.61,0.06725
02210,0.05361,,1641,2179.67,0.06516
02301,0.0459,,538,2216.28,
02303,0.02887,,95,2248.08,
02304,0.04043,,140,2213.67,
02307,0.03039,,196,2418.36,
02321,0.05514,,454,2256.08,
02323,0.04022,,338,2195.8,
02343,0.05328,,58,2027.09,
02361,0.06436,,836,2298.57,
02362,0.05467,,500,2150.3,
02367,0.05621,,385,2180.06,
02381,0.05055,,770,2171.69,
02384,0.03742,,668,2178.72,
02387,0.02269,,549,2158.18,
02401,0.06797,,565,2409.94,
02402,0.06397,,672,2352.19,
02405,0.05941,,416,2366.95,
02406,0.06016,,157,2264.13,
02408,0.04591,,699,2304.82,
02411,0.11697,,351,2916.24,
02412,0.06235,,1118,2524.69,
02423,0.06148,,216,2837.11,
02424,0.05565,,219,2477.37,
02425,0.04649,,78,2460.03,
02426,0.03344,,45,2372,
02441,0.05684,,447,2213.64,
02442,0.05711,,816,2326.55,
02443,0.03856,,224,2178.02,
02445,0.05773,,879,2308.31,
02446,0.04459,,1419,2297.96,
02450,0.03186,,64,2137.86,
03201,0.17165,,21077,3010.02,0.03649
03202,0.07176,,2387,2445.72,0.08077
03203,0.07468,,2062,2471.48,0.06936
03205,0.09576,,5138,2431.38,0.07067
03206,0.10488,,4409,2611.23,0.04572
03207,0.0693,,1569,2464.33,0.09488
03208,0.05894,,1148,2223.08,0.06559
03209,0.0783,,5681,2442.43,0.07279
03210,0.06768,,851,2302.32,0.06901
03211,0.07543,,1233,2427.54,0.08089
03213,0.0661,,1286,2368.41,0.07568
03214,0.05169,,1203,2290.92,0.06199
03215,0.0779,,5491,2507.91,0.05635
03216,0.10403,,4162,2550.39,
03301,0.0632,,871,2242.53,
03302,0.03876,,242,2198.65,
03303,0.0487,,704,2326.86,
03321,0.09273,,1786,2487.18,
03322,0.11628,,2019,2645.36,
03366,0.04896,,173,2268.48,
03381,0.07229,,813,2445.69,
03402,0.05781,,348,2318.02,
03441,0.05529,,234,2213.71,
03461,0.04488,,588,2301.82,
03482,0.04442,,696,2265.14,
03483,0.05356,,307,2262.11,
03484,0.04109,,121,2258.75,
03485,0.0337,,115,2311.24,
03501,0.03616,,429,2193.9,
03503,0.03716,,256,2215.85,
03506,0.02967,,296,2074.12,
03507,0.03869,,751,2336.66,
03524,0.05247,,528,2276.81,
04100,0.20878,,76648,3230.25,0.03245
04202,0.07057,,7479,2633.76,0.04285
04203,0.11609,,3106,2655.86,0.05806
04205,0.06215,,2906,2457.71,0.067
04206,0.09374,,1855,2488.17,0.05246
04207,0.15621,,4907,3022.53,0.02827
04208,0.0857,,1481,2591.43,0.04094
04209,0.13679,,3897,2869.56,0.01641
04211,0.14188,,2561,2816.37,0.02704
04212,0.05369,,3479,2441,0.05062
04213,0.06573,,3065,2440.17,0.07287
04214,0.07427,,2160,2564.76,0.04272
04215,0.09318,,6250,2563.1,0.05293
04216,0.17902,,2942,3129.03,
04301,0.05973,,629,2334.05,
04302,0.05241,,91,2148.03,
04321,0.13217,,1145,2666,
04322,0.06079,,564,2354.11,
04323,0.11294,,3288,2659.63,
04324,0.05137,,463,2218.17,
04341,0.05198,,654,2415.46,
04361,0.085,,1828,2581.07,
04362,0.07133,,770,2406.05,
04401,0.09725,,734,2524.87,
04404,0.07732,,1238,2731.3,
04406,0.14966,,2522,3050.99,
04421,0.101,,1338,2659.63,
04422,0.04539,,418,2314.16,
04424,0.05282,,268,2428.47,
04444,0.04408,,361,2309.33,
04445,0.05074,,1057,2350.16,
04501,0.06314,,747,2305.08,
04505,0.09507,,1193,2514.84,
04581,0.05891,,345,2584.39,
04606,0.03738,,723,2432.78,
