year,region,gross_index,net_index
2041,world,1.099087,1.135407
2042,us,1.206505,1.258970
2042,oecd-ex-us,1.146455,1.158066
2042,china,0.880021,0.791461
2042,india,1.221083,1.427354
2042,latam,1.037072,1.084739
2042,seasia,1.065061,1.136879
2042,russia,0.960934,0.937530
2042,mena,1.393185,1.689162
2042,ssa,1.780896,2.303406
2042,world,1.105690,1.142805
2043,us,1.218280,1.269410
2043,oecd-ex-us,1.156126,1.167223
2043,china,0.872354,0.781788
2043,india,1.233569,1.444867
2043,latam,1.038879,1.088330
2043,seasia,1.069686,1.145007
2043,russia,0.958554,0.935071
2043,mena,1.417276,1.720189
2043,ssa,1.834858,2.374494
2043,world,1.112228,1.149871
2044,us,1.229966,1.279338
2044,oecd-ex-us,1.165788,1.176179
2044,china,0.864548,0.772279
2044,india,1.245829,1.461172
2044,latam,1.040564,1.091600
2044,seasia,1.074222,1.152736
2044,russia,0.956101,0.932604
2044,mena,1.441301,1.749741
2044,ssa,1.889217,2.443802
2044,world,1.118690,1.156596
2045,us,1.241554,1.288762
2045,oecd-ex-us,1.175429,1.184927
2045,china,0.856605,0.762924
2045,india,1.257849,1.476258
2045,latam,1.042125,1.094543
2045,seasia,1.078658,1.160046
2045,russia,0.953571,0.930120
2045,mena,1.465232,1.777775
2045,ssa,1.943915,2.511236
2045,world,1.125066,1.162970
2046,us,1.253037,1.297690
2046,oecd-ex-us,1.185035,1.193460
2046,china,0.848528,0.753727
2046,india,1.269616,1.490125
2046,latam,1.043560,1.097154
2046,seasia,1.082983,1.166920
2046,russia,0.950964,0.927614
2046,mena,1.489044,1.804270
2046,ssa,1.998900,2.576717
2046,world,1.131348,1.168988
2047,us,1.264404,1.306140
2047,oecd-ex-us,1.194591,1.201772
2047,china,0.840319,0.744691
2047,india,1.281120,1.502775
2047,latam,1.044867,1.099434
2047,seasia,1.087190,1.173331
2047,russia,0.948278,0.925079
2047,mena,1.512713,1.829174
2047,ssa,2.054122,2.640177
2047,world,1.137528,1.174648
2048,us,1.275647,1.314121
2048,oecd-ex-us,1.204085,1.209861
2048,china,0.831983,0.735821
2048,india,1.292352,1.514197
2048,latam,1.046046,1.101388
2048,seasia,1.091272,1.179273
2048,russia,0.945513,0.922511
2048,mena,1.536217,1.852465
2048,ssa,2.109533,2.701557
2048,world,1.143597,1.179948
2049,us,1.286756,1.321669
2049,oecd-ex-us,1.213502,1.217738
2049,china,0.823523,0.727122
2049,india,1.303304,1.524373
2049,latam,1.047098,1.103007
2049,seasia,1.095223,1.184730
2049,russia,0.942668,0.919907
2049,mena,1.559534,1.874126
2049,ssa,2.165086,2.760811
2049,world,1.149548,1.184893
2050,us,1.297719,1.328775
2050,oecd-ex-us,1.222827,1.225393
2050,china,0.814944,0.718599
2050,india,1.313971,1.533275
2050,latam,1.048022,1.104282
2050,seasia,1.099039,1.189687
2050,russia,0.939743,0.917262
2050,mena,1.582645,1.894160
2050,ssa,2.220737,2.817895
2050,world,1.155374,1.189475
2051,us,1.308525,1.335440
2051,oecd-ex-us,1.232046,1.232825
2051,china,0.806252,0.710257
2051,india,1.324346,1.540893
2051,latam,1.048821,1.105210
2051,seasia,1.102715,1.194158
2051,russia,0.936740,0.914573
2051,mena,1.605529,1.912565
2051,ssa,2.276442,2.872779
2051,world,1.161067,1.193696
2052,us,1.319164,1.341678
2052,oecd-ex-us,1.241144,1.240040
2052,china,0.797452,0.702102
2052,india,1.334426,1.547220
2052,latam,1.049494,1.105791
2052,seasia,1.106250,1.198118
2052,russia,0.933658,0.911837
2052,mena,1.628167,1.929331
2052,ssa,2.332154,2.925436
2052,world,1.166621,1.197556
2053,us,1.329623,1.347503
2053,oecd-ex-us,1.250105,1.247052
2053,china,0.788551,0.694137
2053,india,1.344206,1.552254
2053,latam,1.050044,1.106023
2053,seasia,1.109641,1.201557
2053,russia,0.930501,0.909052
2053,mena,1.650539,1.944465
2053,ssa,2.387831,2.975845
2053,world,1.172028,1.201062
2054,us,1.339889,1.352930
2054,oecd-ex-us,1.258914,1.253872
2054,china,0.779556,0.686369
2054,india,1.353682,1.556002
2054,latam,1.050473,1.105905
2054,seasia,1.112886,1.204471
2054,russia,0.927270,0.906216
2054,mena,1.672627,1.957950
2054,ssa,2.443428,3.023989
2054,world,1.177282,1.204218
2055,us,1.349932,1.357972
2055,oecd-ex-us,1.267536,1.260491
2055,china,0.770458,0.678796
2055,india,1.362839,1.558465
2055,latam,1.050772,1.105432
2055,seasia,1.115973,1.206850
2055,russia,0.923954,0.903325
2055,mena,1.694398,1.969767
2055,ssa,2.498886,3.069847
2055,world,1.182360,1.207024
2056,us,1.359727,1.362606
2056,oecd-ex-us,1.275943,1.266878
2056,china,0.761272,0.671411
2056,india,1.371673,1.559630
2056,latam,1.050948,1.104487
2056,seasia,1.118902,1.208672
2056,russia,0.920560,0.900361
2056,mena,1.715827,1.979878
2056,ssa,2.554150,3.113352
2056,world,1.187252,1.209449
2057,us,1.369273,1.366896
2057,oecd-ex-us,1.284133,1.273077
2057,china,0.752004,0.664258
2057,india,1.380186,1.559540
2057,latam,1.051004,1.103056
2057,seasia,1.121678,1.209899
2057,russia,0.917092,0.897345
2057,mena,1.736906,1.988335
2057,ssa,2.609191,3.154593
2057,world,1.191959,1.211532
2058,us,1.378566,1.370859
2058,oecd-ex-us,1.292098,1.279030
2058,china,0.742673,0.657320
2058,india,1.388384,1.558193
2058,latam,1.050953,1.101140
2058,seasia,1.124310,1.210501
2058,russia,0.913562,0.894277
2058,mena,1.757626,1.995155
2058,ssa,2.663967,3.193564
2058,world,1.196482,1.213256
2059,us,1.387587,1.374497
2059,oecd-ex-us,1.299818,1.284753
2059,china,0.733286,0.650591
2059,india,1.396263,1.555593
2059,latam,1.050799,1.098740
2059,seasia,1.126798,1.210471
2059,russia,0.909975,0.891115
2059,mena,1.777967,2.000357
2059,ssa,2.718432,3.230884
2059,world,1.200814,1.214638
2060,us,1.396320,1.377832
2060,oecd-ex-us,1.307274,1.290262
2060,china,0.723852,0.643945
2060,india,1.403820,1.551747
2060,latam,1.050545,1.095857
2060,seasia,1.129144,1.209806
2060,russia,0.906334,0.887851
2060,mena,1.797911,2.004324
2060,ssa,2.772537,3.266517
2060,world,1.204946,1.215672
2061,us,1.404746,1.380889
2061,oecd-ex-us,1.314444,1.295597
2061,china,0.714381,0.637372
2061,india,1.411053,1.546830
2061,latam,1.050198,1.092497
2061,seasia,1.131350,1.208502
2061,russia,0.902644,0.884483
2061,mena,1.817438,2.007457
2061,ssa,2.826233,3.300417
2061,world,1.208871,1.216394
2062,us,1.412843,1.383692
2062,oecd-ex-us,1.321306,1.300762
2062,china,0.704881,0.630886
2062,india,1.417959,1.541151
2062,latam,1.049760,1.088456
2062,seasia,1.133417,1.206487
2062,russia,0.898911,0.881008
2062,mena,1.836528,2.009832
2062,ssa,2.879471,3.332550
2062,world,1.212579,1.216814
2063,us,1.420592,1.386168
2063,oecd-ex-us,1.327836,1.305526
2063,china,0.695362,0.624482
2063,india,1.424535,1.534805
2063,latam,1.049238,1.083736
2063,seasia,1.135349,1.203696
2063,russia,0.895139,0.877196
2063,mena,1.855161,2.011519
2063,ssa,2.932200,3.363262
2063,world,1.216060,1.216860
2064,us,1.427970,1.388179
2064,oecd-ex-us,1.334010,1.309912
2064,china,0.685834,0.617905
2064,india,1.430778,1.527882
2064,latam,1.048636,1.078456
2064,seasia,1.137148,1.200159
2064,russia,0.891333,0.873042
2064,mena,1.873318,2.012584
2064,ssa,2.984371,3.392556
2064,world,1.219306,1.216472
2065,us,1.434953,1.389961
2065,oecd-ex-us,1.339800,1.314038
2065,china,0.676306,0.611097
2065,india,1.436684,1.520464
2065,latam,1.047959,1.072939
2065,seasia,1.138815,1.196149
2065,russia,0.887501,0.868687
2065,mena,1.890975,2.013089
2065,ssa,3.035933,3.420495
2065,world,1.222306,1.215768
2066,us,1.441515,1.391727
2066,oecd-ex-us,1.345179,1.317984
2066,china,0.666788,0.604198
2066,india,1.442252,1.512637
2066,latam,1.047214,1.067211
2066,seasia,1.140355,1.191686
2066,russia,0.883646,0.864199
2066,mena,1.908113,2.013089
2066,ssa,3.086836,3.447106
2066,world,1.225047,1.214858
2067,us,1.447629,1.393462
2067,oecd-ex-us,1.350116,1.321769
2067,china,0.657290,0.597250
2067,india,1.447478,1.504461
2067,latam,1.046406,1.061297
2067,seasia,1.141769,1.186811
2067,russia,0.879777,0.859591
2067,mena,1.924709,2.012632
2067,ssa,3.137028,3.472434
2067,world,1.227519,1.213763
2068,us,1.452893,1.395184
2068,oecd-ex-us,1.354457,1.325397
2068,china,0.647743,0.590270
2068,india,1.452222,1.496008
2068,latam,1.045429,1.055253
2068,seasia,1.142989,1.181564
2068,russia,0.875746,0.854873
2068,mena,1.940563,2.011764
2068,ssa,3.186427,3.496533
2068,world,1.229554,1.212509
2069,us,1.455173,1.396897
2069,oecd-ex-us,1.357473,1.328868
2069,china,0.637702,0.583270
2069,india,1.455697,1.487321
2069,latam,1.043652,1.049063
2069,seasia,1.143597,1.175981
2069,russia,0.870696,0.850055
2069,mena,1.954641,2.010522
2069,ssa,3.234792,3.519470
2069,world,1.230259,1.211106
2070,us,1.457099,1.398572
2070,oecd-ex-us,1.360078,1.332181
2070,china,0.627648,0.576260
2070,india,1.458613,1.478471
2070,latam,1.041776,1.042737
2070,seasia,1.143996,1.170089
2070,russia,0.865608,0.845141
2070,mena,1.968006,2.008932
2070,ssa,3.282181,3.541291
2070,world,1.230671,1.209561
2071,us,1.454745,1.400178
2071,oecd-ex-us,1.360416,1.335310
2071,china,0.615064,0.569242
2071,india,1.456762,1.469430
2071,latam,1.034187,1.036275
2071,seasia,1.140498,1.163903
2071,russia,0.857920,0.840127
2071,mena,1.973604,2.006987
2071,ssa,3.326349,3.562052
2071,world,1.227594,1.207862
2072,us,1.456237,1.401757
2072,oecd-ex-us,1.364782,1.338303
2072,china,0.608403,0.562239
2072,india,1.453547,1.460259
2072,latam,1.029738,1.029711
2072,seasia,1.138547,1.157475
2072,russia,0.853995,0.835041
2072,mena,1.978383,2.004773
2072,ssa,3.359193,3.581882
2072,world,1.227691,1.206053
2073,us,1.458066,1.403307
2073,oecd-ex-us,1.369350,1.341208
2073,china,0.602166,0.555261
2073,india,1.449456,1.450986
2073,latam,1.025311,1.023059
2073,seasia,1.136254,1.150834
2073,russia,0.850272,0.829893
2073,mena,1.982370,2.002372
2073,ssa,3.389936,3.600843
2073,world,1.227832,1.204158
2074,us,1.459864,1.404825
2074,oecd-ex-us,1.373716,1.343991
2074,china,0.595822,0.548315
2074,india,1.444631,1.441631
2074,latam,1.020614,1.016329
