region,year,pop,pop2564,entrants,gdppc,mult_stock,mult_entrant,tert_stock,tert_entr,none_stock,sec_stock,gross_const,gross_cur,inv_cur,gdp,inv_gdp,stock_gdp,entrant_share,net_over_gross,net_const
us,1925,111732111.0,53124774.41318324,1897529.40215608,11149.772,6.012569000000001,6.329179000000001,0.047,0.077,0.057,0.48499999999999993,18681853864248.758,3561419718288.2285,133906567935.55869,1245787562728.6921,0.10748748176796567,2.8587696850075517,0.016982847501700562,,
us,1930,119629770.0,56488936.04061746,2022701.9889426834,10694.982000000005,6.057844000000001,6.573626000000001,0.052000000000000005,0.078,0.048,0.489,20014478500643.312,3659835270750.191,142205682548.31042,1279438236814.1406,0.11114696939369972,2.8605017150834473,0.016908015362252084,,
us,1935,124448298.0,61086196.46556712,2116604.0888057696,9680.838999999993,6.144893000000001,6.717308000000002,0.059000000000000004,0.084,0.04,0.507,21954331012238.293,3633878539310.702,137641022483.17975,1204763936762.021,0.11424729632355206,3.016257731848516,0.01700789904580109,,
us,1940,129417367.0,64557798.35593433,2166727.5069759297,12005.094999999988,6.220328000000001,6.690413000000001,0.064,0.099,0.032,0.527,23486851134325.71,4820894171399.592,174029481219.63135,1553667785484.8635,0.11201202911298107,3.1029118428268774,0.016742169595954842,,
us,1945,138111665.0,69143230.4950565,2108446.570477895,16477.552999999996,6.295469000000001,6.699611999999999,0.067,0.116,0.026000000000000002,0.5559999999999999,25458953903857.734,7172498624711.683,232758188843.6451,2275742279955.7446,0.1022779208760719,3.1517183153318937,0.015266245399893593,,
us,1950,154202683.0,77198922.0,2354096.0,15240.00000000001,6.2114400000000005,6.822682000000002,0.08,0.126,0.019,0.476,28045702876981.914,7307831034311.448,244773425699.3935,2350048888920.0015,0.10415673769743684,3.1096506412127733,0.015266245399893593,0.35351302433238085,9925367649785.164
us,1955,166200028.0,80953944.99999999,2184742.2,17370.0,6.357437000000002,6.925103000000001,0.091,0.129,0.018000000000000002,0.515,30101135648327.78,8939637343000.822,262800539941.0675,2886894486360.0,0.09103226362541048,3.096627668672625,0.013145257713193647,0.3521198625237589,10592522875506.373
us,1960,180274556.0,83561136.0,2217438.6,18057.000000000015,6.5048010000000005,7.141553000000001,0.103,0.159,0.013000000000000001,0.557,31790777438102.945,9814856366228.65,285949844601.935,3255217657692.0024,0.08784354063890083,3.0151152390797513,0.01230034148579459,0.34640939859263903,11015308156026.984
us,1965,195653774.0,86748334.99999999,2716585.0,21389.999999999993,6.755360000000001,7.338452000000001,0.12000000000000002,0.196,0.012,0.643,34274603877575.4,12534887209444.58,426420957319.1237,4185034225859.9985,0.10189186857402507,2.9951695811684167,0.013884654225990039,0.34408027465666463,11794589321423.104
us,1970,207796338.0,91655746.0,3467952.2,23957.99999999998,6.999500000000001,7.600698,0.14,0.254,0.01,0.707,37522305297449.125,15370120594494.656,631505504406.5273,4978384665803.996,0.1268494796603952,3.0873710302199844,0.016689188237763844,0.3532776512742271,13251768255599.836
us,1975,219129299.0,100315610.0,3946531.0,25955.99999999998,7.241366000000002,7.564888000000001,0.17800000000000002,0.22399999999999998,0.009000000000000001,0.7290000000000001,42486584079745.016,18855010665513.73,774918067231.5723,5687720084843.996,0.13624405836997636,3.315038430909507,0.018010056245376844,0.3821701574988908,16232782731246.117
us,1980,229858656.0,110114127.00000001,4351365.4,29611.000000000022,7.473039,7.829993,0.217,0.319,0.006999999999999999,0.735,48128584292414.44,24366511858270.57,1008881137191.1367,6806344662816.005,0.14822657199580164,3.5799703167234784,0.018930613602822076,0.4078449117753343,19627289520606.195
us,1985,241690438.0,120991310.0,4329574.8,33023.0,7.538223,7.810490999999999,0.249,0.33299999999999996,0.009000000000000001,0.685,53344046671234.92,30118940070734.66,1116709235719.6963,7981343334074.0,0.13991494776978636,3.7736680167799195,0.017913719863422977,0.4258263604578648,22720109139884.695
us,1990,253373387.0,130803066.0,3859810.2,36982.00000000002,7.648240000000001,7.938418,0.28,0.33399999999999996,0.01,0.655,58511634447992.4,36997282497295.04,1133157576263.9253,9370254598034.006,0.12093135404257592,3.948375373392471,0.015233684349019656,0.4324168352375492,25290230746335.477
us,1995,268205796.0,139550438.0,3726493.8,39390.625,7.689064000000001,7.894440000000001,0.272,0.32,0.005,0.6970000000000001,62757766358545.54,42266623121160.8,1158816320346.6238,10564793933062.5,0.10968659944422679,4.00070492514648,0.013894158349956016,0.4148402400778785,26039474459267.16
us,2000,281484126.0,147912422.0,3890280.2,45886.469999999994,7.752830000000001,7.914776000000001,0.29,0.32799999999999996,0.004,0.68,67069907581095.84,52619844305488.82,1412876364813.0417,12916312903175.219,0.1093869725365444,4.073905974556661,0.013820602444913715,0.39464707331985494,26476510847525.81
us,2005,295716666.0,157128452.0,4233770.8,49654.75999999998,7.7884600000000015,8.051368000000002,0.3,0.384,0.004,0.6709999999999999,71576296610045.33,60766932365090.76,1692613917762.7358,14683740078230.154,0.11527130749693495,4.138382458511555,0.01431698408232426,0.37405048097255633,26769368541651.61
us,2010,311062785.0,165661945.0,4463825.0,49266.91400000003,7.881569000000001,8.143903000000002,0.327,0.40900000000000003,0.003,0.647,76365682286925.6,64326629676654.47,1790998046020.4016,15325103477195.5,0.11686694635931782,4.197467884792792,0.014350238007417056,0.3676644260425193,28092836442191.746
us,2015,326126496.0,172745626.0,4574677.6,52808.15199999998,7.892329,8.154835,0.327,0.40499999999999997,0.003,0.6499999999999999,79739781067415.55,71996802717553.25,1970047241527.8306,17222137571995.385,0.11439040207943117,4.180480060420954,0.014027310433556432,0.3711002338837561,29769382550291.875
us,2020,339436156.0,178031342.0,4451887.6,54379.20700000004,7.899710000000001,8.144847000000002,0.33,0.401,0.002,0.645,82256535230065.05,76478697724008.1,1971786965955.5786,18458268990408.305,0.1068240454714471,4.1433298953303614,0.013115537403151595,0.37608251507327684,31248212579373.04
us,2025,343477330.0,178149784.0,4612361.4,58487.465,7.920778000000002,8.159214,0.33399999999999996,0.40199999999999997,0.003,0.6430000000000001,82530778104905.42,82530778104905.42,2201073024204.5874,20089118316668.45,0.10956543684539413,4.108232964929454,0.013428430342113119,0.37903972694072896,31659441291360.703
oecd-ex-us,1925,439615453.0,205559895.59405053,8428026.720026474,4694.7567980969,4.774537464254059,5.086236514832437,0.0070152384027793255,0.014173916453181367,0.24594464178339975,0.07846785292742132,38607574122434.12,4607685128057.646,201249845074.51938,2063887636520.198,0.09751007831697424,2.2325271233401054,0.01917136138530252,,
oecd-ex-us,1930,459554258.0,223166480.4819457,8701828.163106084,4966.069737590521,4.861856683360781,5.147344168610855,0.009003688711721278,0.015504707682551938,0.20643212308702588,0.09445162862522381,42680936195790.305,5388202771574.66,222436741544.3828,2282178493434.6665,0.09746684678007665,2.3609909510037683,0.018935366198056386,,
oecd-ex-us,1935,477810312.5,233783768.53344914,8255013.722782706,4968.107424883191,4.952383151960957,5.21033056184784,0.010813797259951786,0.016754624320349704,0.17003651437643322,0.11237565904235511,45544025351820.94,5752009180058.757,213685008721.49564,2373812961217.008,0.09001762658332756,2.4231096864134627,0.017276759221856907,,
oecd-ex-us,1940,496050339.0,248221544.05917534,8439673.81109231,5728.550063594371,5.026180406780664,5.323257798499139,0.012755242268779117,0.020992669582781544,0.14197905401349298,0.12900124216718925,49077266527602.32,7146974927459.697,257364044889.46158,2841649201024.459,0.0905685489949561,2.515079948954678,0.017013744669756813,,
oecd-ex-us,1945,510611751.0,242030088.25481555,8519234.37263488,4846.704370857306,5.103310458271718,5.535284530522335,0.01459034808326698,0.025774851783706428,0.11988724263451257,0.14918653073218824,48587456911483.09,5986429589183.906,228553063277.74966,2474784205382.8022,0.09235272424182812,2.418970339378709,0.016684368027078327,,
oecd-ex-us,1950,530345302.0,251383796.0,8848476.2,5603.584355436322,5.18204812628874,5.635025625183003,0.017967435369176582,0.02949676468383841,0.09898544560377483,0.1672726124808932,51243825310199.1,7299693681268.958,279402505677.38074,2971834637266.3516,0.09401684137257035,2.456292012257989,0.016684368027078327,0.2725415864749477,13913529299000.754
oecd-ex-us,1955,557870313.0,267527253.00000003,8913257.4,7097.639562510601,5.276396875713276,5.753710675917404,0.02107378637526001,0.03293899977849425,0.0815031745300984,0.19656000636161602,55527523518012.234,10018885783209.875,363997506848.6245,3959562404298.9717,0.091928720823651,2.530301270749561,0.01597729291610468,0.28204879770456626,15595948342665.281
oecd-ex-us,1960,587359905.0,283210414.0,9088105.6,8599.82098050733,5.349922365882853,5.927818060962191,0.024834748535553237,0.0500184905788799,0.08100942719012623,0.22405697560511298,59601819621979.26,13030050819690.34,463295029782.20215,5051190034127.792,0.09171997621392224,2.579600199488493,0.015472805553521736,0.2829644680327194,16806098332345.729
