region,year,population_historical
russia,1903,113796942
russia,1904,114840279
russia,1905,115893182
russia,1906,116955736
russia,1907,118028033
russia,1908,119110158
russia,1909,120202205
russia,1910,121304263
russia,1911,122388186
russia,1912,123510287
russia,1913,124642673
russia,1914,125785442
russia,1915,126938685
russia,1916,128102503
russia,1917,129276985
russia,1918,130467703
russia,1919,131669387
russia,1920,132882137
russia,1921,134106058
russia,1922,135341251
russia,1923,136587822
russia,1924,137845875
russia,1925,139115516
russia,1926,140396851
russia,1927,141689988
russia,1928,142995036
russia,1929,144312102
russia,1930,145641301
russia,1931,146982743
russia,1932,148336541
russia,1933,149702807
russia,1934,151081658
russia,1935,152473209
russia,1936,153877577
russia,1937,155294880
russia,1938,156725240
russia,1939,158168769
russia,1940,159625598
russia,1941,161095843
russia,1942,162579632
russia,1943,164077087
russia,1944,165588334
russia,1945,167113504
russia,1946,168652718
russia,1947,170206110
russia,1948,171773809
russia,1949,173509043
russia,1950,175947225
seasia,1900,87881292
seasia,1901,89165932
seasia,1902,90676720
seasia,1903,92295819
seasia,1904,93954307
seasia,1905,95645593
seasia,1906,97380047
seasia,1907,99150647
seasia,1908,100984446
seasia,1909,102637769
seasia,1910,104181047
seasia,1911,105358168
seasia,1912,106416867
seasia,1913,107270305
seasia,1914,108137195
seasia,1915,109020522
seasia,1916,109862713
seasia,1917,110597997
seasia,1918,111460512
seasia,1919,112457490
seasia,1920,113694887
seasia,1921,114806856
seasia,1922,116017064
seasia,1923,117289594
seasia,1924,118587906
seasia,1925,119912036
seasia,1926,121309210
seasia,1927,122641192
seasia,1928,124047219
seasia,1929,125542457
seasia,1930,127265593
seasia,1931,128981071
seasia,1932,130843983
seasia,1933,132840169
seasia,1934,134872478
seasia,1935,136943128
seasia,1936,139109206
seasia,1937,141202926
seasia,1938,143393690
seasia,1939,145757778
seasia,1940,148428142
seasia,1941,151116455
seasia,1942,154024939
seasia,1943,156857015
seasia,1944,159339425
seasia,1945,161885184
seasia,1946,164744614
seasia,1947,167976597
seasia,1948,171496013
seasia,1949,175176329
seasia,1950,178942175
ssa,1900,117015211
ssa,1901,116984530
ssa,1902,117133686
ssa,1903,117300812
ssa,1904,117476863
ssa,1905,117661894
ssa,1906,117855956
ssa,1907,118059122
ssa,1908,118271432
ssa,1909,118518998
ssa,1910,118975248
ssa,1911,119120660
ssa,1912,119467390
ssa,1913,119850819
ssa,1914,120240938
ssa,1915,120637823
ssa,1916,121041537
ssa,1917,121452158
ssa,1918,121840038
ssa,1919,122461157
ssa,1920,123492578
ssa,1921,124421298
ssa,1922,125760334
ssa,1923,127351123
ssa,1924,128966728
ssa,1925,130607546
ssa,1926,132273977
ssa,1927,133966435
ssa,1928,135685348
ssa,1929,137405124
ssa,1930,139321042
ssa,1931,140850071
ssa,1932,142566128
ssa,1933,144285823
ssa,1934,146030581
ssa,1935,147800786
ssa,1936,149596831
ssa,1937,151419098
ssa,1938,153267990
ssa,1939,155228896
ssa,1940,157523817
ssa,1941,159499252
ssa,1942,161815116
ssa,1943,164255839
ssa,1944,166739818
ssa,1945,169267835
ssa,1946,171845671
ssa,1947,174459130
ssa,1948,177124034
ssa,1949,180087771
ssa,1950,183921342
us,1900,74829905
us,1901,76245912
us,1902,77698268
us,1903,79187838
us,1904,80705948
us,1905,82253148
us,1906,83829992
us,1907,85437050
us,1908,87074899
us,1909,88647362
us,1910,90151889
us,1911,91585865
us,1912,92946603
us,1913,94231351
us,1914,95533839
us,1915,96854312
us,1916,98193018
us,1917,99550208
us,1918,100970120
us,1919,102419259
us,1920,103898175
us,1921,105407425
us,1922,106947578
us,1923,108519213
us,1924,110113945
us,1925,111732111
us,1926,113374057
us,1927,115040131
us,1928,116730690
us,1929,118261782
us,1930,119629770
us,1931,120830953
us,1932,121861566
us,1933,122717780
us,1934,123580010
us,1935,124448298
us,1936,125322686
us,1937,126203219
us,1938,127089938
us,1939,128160070
us,1940,129417367
us,1941,130865641
us,1942,132508765
us,1943,134350677
us,1944,136218191
us,1945,138111665
us,1946,140031458
us,1947,141977937
us,1948,143951473
us,1949,146051521
us,1950,154202683
