region,year,pop,pop2564,entrants,gdppc,gdp,gross_cur,gross_con,net_cur,net_con,inv_cur,inv_con,tert_stock
latam,2020,646729443.9999999,327775027.0,10751872.2,12865.496159741226,8320495178173.576,27700124055083.117,30575856931372.242,9625439595584.447,10624720069517.12,973411909326.3511,1074468230383.0609,0.160870557331966
latam,2025,665964336.0,346997306.00000006,10554225.8,14201.148310712375,9457458305181.088,32953919154064.035,32953919154064.035,11879217568124.217,11879217568124.217,1078759965332.9414,1078759965332.9414,0.17410755287094162
seasia,1925,119912036.0,44153782.07993984,2203474.131804797,1618.2516564633393,194047850886.89157,274654776300.87762,2166572196278.8013,,,14716717450.486692,116090574786.82428,0.0019659071706767265
seasia,1930,127265593.0,46861494.86775721,2338601.2897345657,1875.9407969119288,238742717951.8892,341079167072.0071,2320962562793.317,,,18378498746.590866,125061310303.29391,0.0025440012285922915
seasia,1935,136943128.0,50424938.41950368,2516433.2967912676,1640.451844475959,224648606915.90735,324792515112.5117,2527403578160.9233,,,17489823482.09459,136098710386.64821,0.0032875514855947537
seasia,1940,148428142.0,54653928.45467462,2727479.094165736,1890.7022563410965,280633422983.9167,409040659407.21423,2761693051395.3696,,,22104297972.669453,149240142057.17697,0.003916920359835689
seasia,1945,161885184.0,59609054.893430084,2974762.3938806257,1439.25,232993251072.0,344794865117.459,3058134774326.3037,,,18886789285.26342,167515102259.31396,0.0045857440690956035
seasia,1950,178941800.99999997,65889610.0,3288190.6000000006,1264.5905018794583,226288101933.8041,339424088015.22174,3426295485953.167,39414051229.39765,397862705030.9873,18812133883.174004,189897923220.3907,0.0052509784916720545
seasia,1955,200832651.99999997,74266317.00000001,3721523.2,1488.7474065451177,298989089814.57806,462932213580.3206,3969432805129.9653,83073483354.29068,712317268899.0803,25855795842.175823,221701668641.53314,0.009976977800423247
seasia,1960,230907972.00000003,84956345.0,4113374.0,1618.448373238,373712631651.0857,582515999028.269,4594529849473.976,120353451422.32559,949274399277.4968,32439769614.97048,255865057877.67676,0.010595432741218828
seasia,1965,264515984.00000006,95916085.0,4284951.0,1730.7812062855896,457819293869.33984,726381299443.4991,5357405928507.82,145990511187.35287,1076749127132.2972,37654902498.92171,277722730526.8735,0.013795631734358589
seasia,1970,300710145.9999999,106088079.00000001,4779391.0,1979.2185357314688,595171094845.716,952957210729.8829,6146271222800.063,232593577046.82388,1500154669186.1284,49243826506.01085,317607034551.5698,0.0195188893056284
seasia,1975,338674665.0000001,117600873.0,5820911.8,2356.652591980337,798138527110.3226,1298368011736.4937,7032897884677.266,337749976679.34033,1829497550052.0974,74114300571.20338,401456523111.98315,0.02466015385264767
seasia,1980,378135525.99999994,133536525.0,7169331.8,2944.6476512822405,1113475888502.2744,1915354060987.0212,8303244012615.449,565187857360.3872,2450143703567.9155,115374608930.83806,500160022799.7331,0.03487554942186916
seasia,1985,423845457.00000006,156660174.0,8317653.0,3137.7784551705904,1329933143296.5332,2455875555680.4854,9991165422698.066,805360191852.5189,3276422896527.7554,148702747761.48407,604962962499.5648,0.04538869386362121
seasia,1990,469583535.00000006,184123955.0,9241115.4,3888.306375660278,1825884653045.5916,3636080954368.9116,11937273280229.879,1261005313299.2007,4139887208668.347,203793919964.25977,669056532566.9155,0.05862587543124584
seasia,1995,516419515.99999994,214820843.99999997,9865343.4,5047.640345023048,2606699983918.8755,5731118406938.071,14493826163493.674,2043279017258.2993,5167391210030.531,287601802285.05945,727336312155.2013,0.0652542395189345
seasia,2000,561607694.9999998,245965659.99999997,10419361.6,5269.3301198494455,2959296342802.7197,7016487852479.799,16997945790541.361,2517427939052.899,6098649999727.719,343223217989.2951,831482898010.76,0.07476298692299305
seasia,2005,600638390.0000001,275210739.0,11300872.0,6421.387748034613,3856931998545.2363,10108667735999.885,20095420423699.484,3728636027026.4985,7412303038036.158,474263456996.7782,942807084855.1519,0.09954758094184167
seasia,2010,642199617.0000001,309490796.99999994,11442785.0,7984.731927407779,5127791785628.948,14984207146631.06,23955514238347.67,5532554917072.018,8844992383875.137,609120748182.0803,973812001740.0802,0.1228718221795886
seasia,2015,682980290.0000001,340697605.00000006,11865363.0,9736.745844914658,6650005500816.109,20655332443325.875,27080110067703.324,7564298417476.212,9917150173799.22,797924620930.4065,1046116619996.9719,0.1251733010204848
seasia,2020,717680944.0,368582861.0,11605255.4,10912.10960111754,7831413119561.499,25699198119027.363,30063734189554.6,9006848842404.69,10536496439671.803,905072958402.4785,1058782951808.1372,0.13843506025053906
seasia,2025,742436859.0,388690023.0,11536600.2,12765.330691481528,9477452022679.844,32591029562899.332,32591029562899.332,11537246441795.188,11537246441795.188,1087509202123.8179,1087509202123.8179,0.1603453888185625
russia,1925,139115516.0,60039302.95619348,3147268.3085077615,3310.834623352411,460588467018.3363,837932626544.7125,5137095712851.686,,,49250047158.049805,301936215512.50183,0.006993006993006993
russia,1930,145641301.0,62855693.20443856,3294903.8628238975,3310.834623352411,482194261940.89014,908094452756.6974,5567235326970.411,,,55800161826.255196,342092864048.16943,0.01
russia,1935,152473209.0,65804199.639772795,3449464.965375828,3310.834623352411,504813579490.84845,988622995264.3511,6060929947961.74,,,63629643596.96549,390092901239.7276,0.015000000000000003
russia,1940,159625598.0,68891018.87014207,3611276.443182656,3310.834623352411,528493956631.7334,1076460987519.968,6599436456894.954,,,69536681168.98708,426307050713.7925,0.021000000000000008
russia,1945,167113504.0,72122640.11389679,3780678.461940112,3310.834623352411,553285175072.9417,1184951356299.8118,7264556050868.531,,,74107933109.07014,454331927654.7939,0.028999999999999998
russia,1950,175947189.00000006,75935071.0,3980526.6,3310.834623352411,582532045222.7307,1304485925861.0813,7997384091426.996,312212706993.2462,1914075795337.5154,80147005662.27191,491355541176.7787,0.03496503496503497
russia,1955,190357043.0,88279050.0,3357738.8,4312.620959531007,820937773436.1453,2065671692471.7073,9722233640365.93,625931862597.8073,2945993709118.255,90352218927.67943,425249271479.971,0.04195804195804196
russia,1960,207552813.00000003,96583708.0,4225792.6,5557.0,1153370981841.0002,2976788241626.6445,10873105190396.994,977091015607.243,3568951679103.6396,159561389567.6525,582818673103.5192,0.046
russia,1965,223269119.99999997,108821909.0,2526377.4,7068.0,1578066140159.9998,4454677204794.16,12792803927758.408,1580005075689.6611,4537409605438.493,120592982016.5011,346315188077.04034,0.05600000000000001
russia,1970,235089655.0,110580402.99999999,3524331.0,9234.0,2170817874270.0,6143432535400.1875,13504150456393.506,1996985816436.1023,4389662744571.876,228767227734.70898,502863349604.65344,0.07200000000000001
russia,1975,246160612.00000003,115675771.0,4286529.0,11164.0,2748137072368.0005,8176737728541.914,14866416121332.863,2721112133535.177,4947350230977.197,349657101478.62384,635723945530.9363,0.11311311311311315
russia,1980,258067049.00000003,122573145.0,4809126.0,10582.093765969048,2730889710424.929,8725481368138.996,16736468901924.139,3044678063735.8164,5840039945091.699,395437844930.6227,758494908772.7898,0.174
russia,1985,270195986.0000002,134242565.0,4649369.2,10986.875236584609,2968609587607.9634,10581921830177.453,19549533611970.9,3892834745808.2085,7191803618506.747,381883809164.9951,705509876461.9542,0.26
russia,1990,283140993.0,142898837.0,4021985.8,10871.64989589697,3078209747072.6147,11893066729479.164,22204676087521.496,4653567150897.432,8688335278661.379,326375384809.2915,609351638855.8827,0.378
russia,1995,285022774.00000006,141407358.0,4146525.2,6838.792864008271,1949211712911.0425,7760892212816.146,23034471204816.016,2830297892505.3516,8400376337955.774,216847176223.7496,643606417870.7533,0.44999999999999996
russia,2000,282310216.0,143417411.00000003,4385142.4,8103.123169820875,2287594452346.736,9863545581937.242,24707378044107.273,3667757600790.2065,9187433957097.729,283020566259.6504,708943459199.9015,0.5685685685685684
russia,2005,281018087.0000001,144277294.99999997,4825269.8,12339.199934141616,3467538360603.0044,15389292716401.117,25314986722168.13,5743335154573.876,9447637123962.646,484245406493.3439,796571113536.9626,0.6136136136136137
russia,2010,283417651.99999994,153477438.0,5103995.4,16297.764926861955,4619074268419.166,22068135183324.11,27484233596128.293,8516780982318.445,10607022118569.61,671143002561.4192,835859074886.566,0.6720000000000002
russia,2015,290027584.00000006,161876045.0,4121971.0,17906.427891485884,5193358019437.866,24628693333082.49,27917624254442.395,10064131447687.111,11408101778036.178,593002336176.338,672192234459.298,0.5669089154761543
russia,2020,296771538.0,163108294.0,3374551.2,18832.805288485048,5589040590318.241,26208204513025.637,28246737733792.887,10337951213790.55,11142060361119.174,513747871818.88086,553708339285.5001,0.5837715122243043
russia,2025,295031357.99999994,155782731.0,3336781.6,20297.66333329072,5988447177447.566,27074331070092.945,27074331070092.945,10899464966835.836,10899464966835.836,553835273550.4427,553835273550.4427,0.5995959903796679
