region,year,stock,head,imm_head,investment,depreciation,writeoff,mig_in,mig_out,revaluation,charge_own,charge_imm,gdppc,net_own,net_total
us,2025,49720646452541.7,163468667.3197481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61050.561392568336,0.0,0.0
oecd-ex-us,2025,67627745613762.23,382715206.5144276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40746.2474376583,0.0,0.0
china,2025,68367976784337.3,754690317.0381244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23526.530999766437,0.0,0.0
india,2025,17320367029793.84,758253586.7746348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7962.740251283043,0.0,0.0
latam,2025,15146748306787.924,304226941.7672932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14201.148310712375,0.0,0.0
seasia,2025,14929186869548.082,338611634.74681383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12765.330691481528,0.0,0.0
russia,2025,13535902950724.48,139645266.8252507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20297.66333329072,0.0,0.0
mena,2025,14029573985346.105,222635280.40974152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20496.517103421746,0.0,0.0
ssa,2025,4502207912935.235,444568199.96648616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3497.158670690358,0.0,0.0
us,2026,49772381023397.805,166927858.18050712,942258.3709978287,2356459089632.105,2493499086848.6987,277710733578.8124,453071410917.1823,0.0,13413890734.326622,2771209820427.511,0.0,61980.16024673619,-414750730795.40625,38320680121.77606
oecd-ex-us,2026,67100408154442.836,388233867.8746305,1321888.7014311934,2800679846804.508,3396435051983.0703,367297332992.6315,420858008090.7699,0.0,14857070761.008224,3763732384975.7017,0.0,41618.333088470004,-963052538171.1938,-542194530080.42395
china,2026,67762998752143.21,761889093.3617086,0.0,3158245096113.334,3454323375983.4883,371747661304.6582,0.0,23589435608.89708,86437344589.63515,3826071037288.1465,0.0,24228.855750619772,-667825941174.8125,-691415376783.7096
india,2026,18220657853621.23,778397660.6508629,0.0,2251768567476.5356,1052388954785.6206,243978738633.1521,0.0,67341389110.18092,12231338879.822004,1296367693418.7727,0.0,8334.796268499304,955400874057.763,888059484947.582
latam,2026,15385171553575.742,309911307.48782,0.0,1184974906128.5454,812427831743.2131,118500365045.74666,0.0,21951599739.59611,6328137187.823813,930928196788.9598,0.0,14736.250277982586,254046709339.58557,232095109599.98947
seasia,2026,15297701270658.543,345582264.2807318,0.0,1285580352016.9148,802534183621.3956,115167996835.90623,0.0,6724434397.552711,7360663948.401954,917702180457.3019,0.0,13267.526588403778,367878171559.6129,361153737162.0602
russia,2026,13591674512698.63,142376758.5560886,203659.67093260528,779720142422.1497,681940404921.012,79897915032.98456,31489263016.99717,0.0,6400476488.999376,761838319953.9966,0.0,20949.93751363234,17881822468.153076,49371085485.150246
mena,2026,14935384601347.836,229863247.38124976,279603.65663837205,1941281160538.5176,862857615211.377,222228659475.73975,39787229258.033394,0.0,9828500892.29687,1085086274687.1167,0.0,21152.088069819238,856194885851.4009,895982115109.4343
ssa,2026,5115263362686.032,471103577.885815,0.0,893154311732.6384,248345606576.92004,33664800617.88058,0.0,4102136370.397464,6013681583.354782,282010407194.8006,0.0,3706.02193117199,611143904537.8379,607041768167.4404
us,2027,49791590483354.94,169202027.075986,1876385.109310421,2329577201356.97,2497350012632.8823,279151313998.32465,451888751255.1525,0.0,14244833976.212223,2757783363254.9624,18717963376.24376,62923.70303705832,-428206161897.9922,4964625980.91658
oecd-ex-us,2027,66546231891314.984,389236706.9107023,2618449.35617851,2763913879793.548,3383075706312.642,364410880898.0126,415029347683.5245,0.0,14367096605.725931,3730574520239.0166,16912066971.638184,42505.07432557021,-966660640445.4688,-568543359733.5825
china,2027,68101064979987.57,758191416.477752,0.0,3055526890900.2534,3423780042661.3027,376551398152.01733,0.0,19901022578.830288,1102771800336.2585,3800331440813.3203,0.0,24946.710040432743,-744804549913.0669,-764705572491.8972
india,2027,19081583910374.914,788062357.0266844,0.0,2242123342979.965,1074477284551.0702,259862962435.707,0.0,59323570671.05892,12466531431.549553,1334340246986.777,0.0,8720.209769160245,907783095993.1877,848459525322.1288
latam,2027,15606105798430.654,311483914.8849567,0.0,1171838917807.7627,816640882961.8418,120098716071.26044,0.0,20381594506.76083,6216520587.024443,936739599033.1023,0.0,15286.446916063733,235099318774.6604,214717724267.89957
seasia,2027,15644703542615.62,348088049.0115688,0.0,1272740910343.5442,810518595130.9286,117146444471.0847,0.0,5381470737.675074,7307871953.223174,927665039602.0133,0.0,13784.578329939995,345075870741.5309,339694400003.85583
russia,2027,13640844994091.398,144123489.48086154,395955.13785177254,776496253279.9685,683123479926.1304,80224500567.3805,29917051592.64176,0.0,6105157013.674347,762037871452.8462,1310109040.6646526,21617.743494906772,14458381827.122314,43065324379.09943
mena,2027,15777428844026.514,234164379.23420942,418506.85678743233,1942281184570.678,888384506186.0529,237839572048.6625,20478523237.489098,0.0,5508613105.22775,1123865253040.0754,2358825194.6398616,21823.19412143207,818415931530.6025,836535629573.4518
ssa,2027,5722700721168.678,492510972.63810176,0.0,910168627438.001,264093150819.57855,36812160932.14624,0.0,7647914046.374463,5821956842.743675,300905311751.7248,0.0,3924.81990741194,609263315686.2761,601615401639.9016
us,2028,49796195400653.6,170354467.2650064,2842353.5494088484,2302393271911.941,2500447091147.3037,280357477799.89465,469953791152.2221,0.0,13062423181.735197,2743569084318.489,37235484628.70976,63881.398876560765,-441175812406.54785,-8457505883.035507
oecd-ex-us,2028,65959857990796.78,388436174.8888486,3879883.9902781122,2723251219070.68,3368684540658.611,361296894712.84247,406075726754.207,0.0,14280589028.378662,3696516242390.358,33465192981.095123,43406.67576409311,-973265023319.6777,-600654489546.5658
china,2028,67281026420984.625,751843667.4032925,0.0,2946685428253.968,3399072094761.195,370558256758.74225,0.0,24097685716.86016,27004049979.82737,3769630351519.937,0.0,25680.32047045773,-822944923265.9692,-847042608982.8293
india,2028,19900175956773.785,796680883.1263683,0.0,2231786730363.1196,1096409861747.1823,274756589586.78748,0.0,52939480891.52664,10911248261.252504,1371166451333.9697,0.0,9119.297570303788,860620279029.1499,807680798137.6233
latam,2028,15807382837788.4,312103868.30987054,0.0,1158293714903.4397,820595503587.425,121507157111.13779,0.0,21024153326.510197,6110138479.364257,942102660698.5629,0.0,15852.009111984375,216191054204.87683,195166900878.36664
seasia,2028,15968826563052.465,349660894.81288093,0.0,1258899797053.772,818202587417.7365,118959015667.34877,0.0,4898241309.676845,7283067777.831411,937161603085.0852,0.0,14316.766516730313,321738193968.68677,316839952659.00995
russia,2028,13683652200043.057,144777111.9619711,594167.579708478,770607462987.1965,684173204709.7269,80507518524.74734,31010087970.06382,0.0,5870378228.867818,762137366510.887,2543356723.5872774,22301.31967664412,8470096476.30957,36936827722.78611
mena,2028,16559582520529.953,237623537.87466073,419827.5715987916,1940486425134.718,912621702846.0408,252368557000.0892,1230853805.696859,0.0,5426657409.13922,1161483372158.894,3506887687.2359548,22510.072830855686,779003052975.824,776727019094.2849
ssa,2028,6325495946446.015,513999374.0544561,0.0,926713578762.0059,280057048831.96295,39944850423.507034,0.0,9446805459.369572,5530351230.172086,320001899255.47,0.0,4153.888135378867,606711679506.5359,597264874047.1663
