region,year,agegrp,pop_thousands,series
china,1957,45-49,29462.206,estimate
china,1957,5-9,84350.67,estimate
china,1957,50-54,26273.046,estimate
china,1957,55-59,20786.235,estimate
china,1957,60-64,16804.548,estimate
china,1957,65-69,12017.255,estimate
china,1957,70-74,7890.35,estimate
china,1957,75-79,4271.136,estimate
china,1957,80-84,1831.176,estimate
china,1957,85-89,600.425,estimate
china,1957,90-94,134.613,estimate
china,1957,95-99,14.623,estimate
china,1958,0-4,112147.924,estimate
china,1958,10-14,62755.544,estimate
china,1958,100+,0.633,estimate
china,1958,15-19,54111.704,estimate
china,1958,20-24,53684.435,estimate
china,1958,25-29,48380.613,estimate
china,1958,30-34,42891.387,estimate
china,1958,35-39,37724.435,estimate
china,1958,40-44,34354.871,estimate
china,1958,45-49,29842.927,estimate
china,1958,5-9,90111.603,estimate
china,1958,50-54,26415.385,estimate
china,1958,55-59,21382.159,estimate
china,1958,60-64,16794.883,estimate
china,1958,65-69,12111.747,estimate
china,1958,70-74,7913.462,estimate
china,1958,75-79,4383.675,estimate
china,1958,80-84,1767.488,estimate
china,1958,85-89,579.853,estimate
china,1958,90-94,126.656,estimate
china,1958,95-99,13.425,estimate
china,1959,0-4,109042.396,estimate
china,1959,10-14,66525.773,estimate
china,1959,100+,0.558,estimate
china,1959,15-19,54463.967,estimate
china,1959,20-24,53302.012,estimate
china,1959,25-29,49508.852,estimate
china,1959,30-34,43546.515,estimate
china,1959,35-39,38624.316,estimate
china,1959,40-44,34302.942,estimate
china,1959,45-49,30323.762,estimate
china,1959,5-9,94798.494,estimate
china,1959,50-54,26571.945,estimate
china,1959,55-59,22010.334,estimate
china,1959,60-64,16655.135,estimate
china,1959,65-69,12153.156,estimate
china,1959,70-74,7910.565,estimate
china,1959,75-79,4389.862,estimate
china,1959,80-84,1699.58,estimate
china,1959,85-89,547.643,estimate
china,1959,90-94,115.665,estimate
china,1959,95-99,11.888,estimate
china,1960,0-4,101067.442,estimate
china,1960,10-14,71017.869,estimate
china,1960,100+,0.466,estimate
china,1960,15-19,55133.028,estimate
china,1960,20-24,52858.609,estimate
china,1960,25-29,50385.218,estimate
china,1960,30-34,44060.328,estimate
china,1960,35-39,39376.119,estimate
china,1960,40-44,34397.97,estimate
china,1960,45-49,30713.281,estimate
china,1960,5-9,98312.714,estimate
china,1960,50-54,26589.6,estimate
china,1960,55-59,22401.412,estimate
china,1960,60-64,16481.75,estimate
china,1960,65-69,12104.266,estimate
china,1960,70-74,7733.338,estimate
china,1960,75-79,4245.337,estimate
china,1960,80-84,1632.106,estimate
china,1960,85-89,496.437,estimate
china,1960,90-94,99.237,estimate
china,1960,95-99,9.96,estimate
china,1961,0-4,92560.988,estimate
china,1961,10-14,75785.072,estimate
china,1961,100+,0.379,estimate
china,1961,15-19,56152.33,estimate
china,1961,20-24,52712.704,estimate
china,1961,25-29,51163.584,estimate
china,1961,30-34,44805.261,estimate
china,1961,35-39,39791.71,estimate
china,1961,40-44,34714.199,estimate
china,1961,45-49,31142.122,estimate
china,1961,5-9,100217.161,estimate
china,1961,50-54,26466.836,estimate
china,1961,55-59,22594.686,estimate
china,1961,60-64,16549.435,estimate
china,1961,65-69,12072.426,estimate
china,1961,70-74,7511.954,estimate
china,1961,75-79,4085.716,estimate
china,1961,80-84,1607.148,estimate
china,1961,85-89,450.86,estimate
china,1961,90-94,84.225,estimate
china,1961,95-99,8.175,estimate
china,1962,0-4,89818.722,estimate
china,1962,10-14,81215.154,estimate
china,1962,100+,0.317,estimate
china,1962,15-19,58089.99,estimate
china,1962,20-24,52697.686,estimate
china,1962,25-29,51841.664,estimate
china,1962,30-34,45674.651,estimate
china,1962,35-39,40330.72,estimate
china,1962,40-44,35132.822,estimate
china,1962,45-49,31667.534,estimate
china,1962,5-9,101506.918,estimate
china,1962,50-54,26551.014,estimate
china,1962,55-59,22764.528,estimate
china,1962,60-64,16917.241,estimate
china,1962,65-69,12120.401,estimate
china,1962,70-74,7487.263,estimate
china,1962,75-79,4039.011,estimate
china,1962,80-84,1641.515,estimate
china,1962,85-89,426.605,estimate
china,1962,90-94,76.443,estimate
china,1962,95-99,7.06,estimate
china,1963,0-4,96433.862,estimate
china,1963,10-14,86702.498,estimate
china,1963,100+,0.267,estimate
china,1963,15-19,61092.819,estimate
