region,year,lu,lp,ls,lh,cov_pop,source
china,1870,99.99688937838287,0.0030758417807276233,3.4779836389852986e-05,0.0,138011.0,leelee
china,1875,99.896415308292,0.004240963855421687,4.039688164422395e-05,0.0,141100.0,leelee
china,1880,99.89512367589153,0.10483056957462149,4.575453385835506e-05,0.0,144248.0,leelee
china,1885,99.8936226215931,0.10627452837848811,5.14250142095434e-05,0.0,147788.0,leelee
china,1890,99.79190251312704,0.10798388428387438,0.0001136025890822628,0.0,151405.0,leelee
china,1895,99.7885279796813,0.21058243939171556,0.0002010172109021525,0.0,156703.0,leelee
china,1900,99.68529435356982,0.3143971320503249,0.0002313857848914338,0.0,162067.0,leelee
china,1905,99.57929407424596,0.42022098855786216,0.00113290849264859,0.0,168063.0,leelee
china,1910,99.37292051649928,0.526499856527977,0.10046370157819225,0.00011592539454806314,174250.0,leelee
china,1915,99.16431690512898,0.8325444488770528,0.10166797847908829,0.0007148479196092595,185494.0,leelee
china,1920,98.75436730435135,1.1403296308114652,0.10377647100535373,0.0013878125743923256,197433.0,leelee
china,1925,98.17470391425357,1.5920604607094215,0.22548706105288094,0.007748563984129803,202644.0,leelee
china,1930,96.49699164238245,2.9374587649191644,0.4508323956259558,0.015056695230676015,207954.0,leelee
china,1935,94.52254363537348,4.4794717604600285,0.8756131104567986,0.12237149370967595,216682.0,leelee
china,1940,92.60686900816138,5.951878630742365,1.3074280979364907,0.13382426315977047,224472.0,leelee
china,1945,89.83524786545368,8.085358195152374,1.8375443577004966,0.14396584725896294,232485.0,leelee
china,1950,85.0475217403666,11.626201761974974,3.0703039386517514,0.2563291781918026,246201.0,leelee
china,1955,75.32771346245319,19.212737972160742,4.895193974582234,0.4656215481015296,254389.0,leelee
china,1960,65.43068639198127,27.18658562371786,6.708925729590569,0.6738022547102968,269569.0,leelee
china,1965,55.036838248256934,33.72333168561542,10.261208341831178,0.9781039030173979,289289.0,leelee
china,1970,45.8749241987062,39.70177969641223,13.248849510121186,1.174940777748375,313649.0,leelee
china,1975,35.99621132728847,44.2229937462979,18.580012928874105,1.2002525971658997,351152.0,leelee
