region,year,life_expectancy,net_migration_thousands
seasia,2079,79.8768,-116.858
seasia,2080,80.0132,-116.534
seasia,2081,80.1511,-109.488
seasia,2082,80.2822,-115.564
seasia,2083,80.415,-105.211
seasia,2084,80.5515,-104.54
seasia,2085,80.6854,-102.495
seasia,2086,80.8171,-107.806
seasia,2087,80.9501,-110.35
seasia,2088,81.0863,-90.89
seasia,2089,81.2247,-114.473
seasia,2090,81.3529,-106.503
seasia,2091,81.4854,-103.81
seasia,2092,81.6146,-100.457
seasia,2093,81.7434,-102.118
seasia,2094,81.8787,-101.131
seasia,2095,82.0113,-103.984
seasia,2096,82.1446,-120.88
seasia,2097,82.2753,-105.148
seasia,2098,82.4082,-112.362
seasia,2099,82.5374,-109.964
seasia,2100,82.6686,-116.79
ssa,1950,37.6455,-52.189
ssa,1951,38.0381,-75.673
ssa,1952,38.4132,-120.18
ssa,1953,38.8113,-213.531
ssa,1954,39.2256,-194.992
ssa,1955,39.629,-200.498
ssa,1956,40.0367,-201.22
ssa,1957,39.8369,-211.524
ssa,1958,40.2136,-331.136
ssa,1959,41.2011,-162.88
ssa,1960,41.4464,-100.508
ssa,1961,41.7474,-73.39
ssa,1962,42.2565,-86.926
ssa,1963,42.5353,-73.536
ssa,1964,42.8701,-15.747
ssa,1965,43.1357,-2.216
ssa,1966,43.2418,-9.579
ssa,1967,43.5628,43.378
ssa,1968,44.0519,39.832
ssa,1969,44.3284,-27.774
ssa,1970,44.7916,-3.664
ssa,1971,45.1141,-173.957
ssa,1972,45.2,-172.162
ssa,1973,45.7611,161.849
ssa,1974,46.0007,59.856
ssa,1975,46.353,41.623
ssa,1976,47.033,-189.425
ssa,1977,47.4536,-482.311
ssa,1978,47.7438,567.908
ssa,1979,48.1828,81.468
ssa,1980,48.5571,-158.728
ssa,1981,48.8513,499.921
ssa,1982,49.1343,592.155
ssa,1983,48.41,-154.332
ssa,1984,48.5429,156.211
ssa,1985,48.8403,168.709
ssa,1986,49.2499,60.437
ssa,1987,49.9195,103.725
ssa,1988,49.8911,-278.883
ssa,1989,50.1868,-136.416
ssa,1990,50.0719,-381.138
ssa,1991,49.9649,-558.584
ssa,1992,49.9401,-229.675
ssa,1993,50.2194,-6.795
ssa,1994,50.0765,-281.452
ssa,1995,50.5463,-185.248
ssa,1996,50.5102,-811.644
ssa,1997,50.6754,-595.185
ssa,1998,50.6124,-65.963
ssa,1999,51.0545,-569.623
ssa,2000,51.6903,-654.596
ssa,2001,52.0319,-585.425
ssa,2002,52.4004,-524.975
ssa,2003,52.8681,-600.329
ssa,2004,53.3845,-502.41
ssa,2005,53.9289,-708.525
ssa,2006,54.6249,-794.946
ssa,2007,55.2972,-744.124
ssa,2008,55.9208,-692.906
ssa,2009,56.3949,-728.977
ssa,2010,57.141,-727.562
ssa,2011,57.502,-946.066
ssa,2012,58.26,-694.648
ssa,2013,58.7489,-464.035
ssa,2014,59.0097,-587.194
ssa,2015,59.4221,-103.569
ssa,2016,59.8326,-757.25
ssa,2017,60.1726,254.477
ssa,2018,60.7898,136.636
ssa,2019,61.1489,-176.596
ssa,2020,61.1878,304.962
ssa,2021,60.7202,37.521
ssa,2022,61.8727,-304.142
ssa,2023,62.6285,-665.29
ssa,2024,62.8258,-683.698
ssa,2025,63.0166,-227.03
ssa,2026,63.2143,-290.646
ssa,2027,63.4093,-504.847
ssa,2028,63.5978,-585.819
ssa,2029,63.782,-566.465
ssa,2030,63.9644,-578.97
ssa,2031,64.1438,-522.757
ssa,2032,64.3232,-568.841
ssa,2033,64.5018,-587.231
ssa,2034,64.6764,-535.232
ssa,2035,64.8477,-466.756
ssa,2036,65.0162,-520.255
ssa,2037,65.1855,-520.052
ssa,2038,65.3542,-567.892
ssa,2039,65.5193,-579.22
ssa,2040,65.6837,-581.97
ssa,2041,65.8456,-598.772
ssa,2042,66.0101,-639.153
ssa,2043,66.1702,-612.558
ssa,2044,66.3251,-663.546
ssa,2045,66.4847,-714.413
ssa,2046,66.6383,-726.508
ssa,2047,66.7973,-671.744
ssa,2048,66.9525,-728.32
ssa,2049,67.1052,-761.61
ssa,2050,67.2566,-797.258
ssa,2051,67.4092,-663.637
ssa,2052,67.5595,-756.411
ssa,2053,67.7091,-813.057
ssa,2054,67.8585,-753.947
ssa,2055,68.0046,-710.099
ssa,2056,68.1514,-739.265
ssa,2057,68.2938,-820.389
ssa,2058,68.4406,-826.44
ssa,2059,68.5855,-662.535
ssa,2060,68.7331,-753.616
ssa,2061,68.8769,-675.556
ssa,2062,69.0167,-838.329
ssa,2063,69.1555,-843.386
ssa,2064,69.2995,-808.52
ssa,2065,69.4414,-804.818
ssa,2066,69.5793,-851.482
ssa,2067,69.7219,-805.555
ssa,2068,69.8624,-926.572
ssa,2069,70.0021,-879.719
ssa,2070,70.1406,-862.999
ssa,2071,70.2825,-842.097
ssa,2072,70.422,-846.753
ssa,2073,70.5594,-892.491
ssa,2074,70.6953,-814.318
ssa,2075,70.8341,-842.822
ssa,2076,70.9738,-925.155
ssa,2077,71.1073,-770.751
ssa,2078,71.2455,-783.216
ssa,2079,71.3823,-916.499
ssa,2080,71.518,-898.669
ssa,2081,71.6534,-945.255
ssa,2082,71.7895,-877.424
ssa,2083,71.927,-848.855
ssa,2084,72.0592,-932.185
ssa,2085,72.1896,-802.047
ssa,2086,72.322,-717.973
ssa,2087,72.4562,-887.793
ssa,2088,72.5926,-987.724
ssa,2089,72.7266,-823.57
ssa,2090,72.8609,-836.595
ssa,2091,72.9963,-967.041
ssa,2092,73.1305,-963.553
ssa,2093,73.2645,-965.866
ssa,2094,73.4,-955.352
ssa,2095,73.5334,-968.846
ssa,2096,73.6685,-839.336
ssa,2097,73.8012,-901.512
ssa,2098,73.932,-863.238
ssa,2099,74.0675,-906.301
ssa,2100,74.2005,-800.834
us,1950,68.0669,52.383
us,1951,68.1743,-21.247
us,1952,68.38,-51.043
us,1953,68.7112,-25.039
us,1954,69.4996,-65.491
us,1955,69.5573,18.234
us,1956,69.643,-13.826
us,1957,69.4183,13.437
us,1958,69.6733,-6.445
us,1959,69.9044,385.641
us,1960,69.8293,422.708
us,1961,70.2536,580.333
us,1962,70.1162,625.617
us,1963,69.9428,639.495
us,1964,70.1993,618.635
us,1965,70.2495,644.902
us,1966,70.21,637.692
us,1967,70.5202,585.41
us,1968,70.2004,594.514
us,1969,70.4763,523.74
us,1970,70.7343,744.902
us,1971,71.0979,833.549
us,1972,71.1779,833.543
us,1973,71.3966,783.163
us,1974,71.9592,706.978
us,1975,72.5434,655.078
us,1976,72.8448,635.59
us,1977,73.2267,577.06
us,1978,73.4091,556.521
us,1979,73.8331,503.559
us,1980,73.73,595.916
us,1981,74.1174,583.07
us,1982,74.4635,600.149
us,1983,74.5528,662.84
us,1984,74.6747,622.793
us,1985,74.65,598.777
us,1986,74.7284,493.082
us,1987,74.8599,480.815
us,1988,74.8333,460.778
us,1989,75.1091,400.998
us,1990,75.3743,1084.72
us,1991,75.5243,1202.426
us,1992,75.779,1304.88
us,1993,75.5677,1228.478
us,1994,75.7381,1179.309
us,1995,75.8522,1173.016
us,1996,76.1749,1141.648
us,1997,76.4981,1116.922
us,1998,76.6592,1225.134
us,1999,76.6691,1156.311
us,2000,76.8058,1248.392
us,2001,76.9194,1312.455
us,2002,76.9883,1336.518
us,2003,77.1369,1331.376
us,2004,77.535,1313.467
us,2005,77.5264,1369.224
us,2006,77.7976,1347.75
us,2007,78.0471,1371.353
us,2008,78.1273,1416.841
us,2009,78.4758,1387.306
us,2010,78.6681,1594.453
us,2011,78.7023,1624.033
us,2012,78.8169,1632.007
us,2013,78.8175,1663.885
us,2014,78.8785,1672.598
us,2015,78.7219,1722.127
us,2016,78.686,1889.129
us,2017,78.6483,1864.738
us,2018,78.7997,1764.961
us,2019,78.916,1774.5
us,2020,77.0115,329.769
us,2021,76.3836,674.787
us,2022,77.9789,1319.009
us,2023,79.3043,1322.668
us,2024,79.4625,1286.132
us,2025,79.6135,1230.663
us,2026,79.7579,1177.848
us,2027,79.9126,1174.683
us,2028,80.0557,1221.343
us,2029,80.2094,1185.843
us,2030,80.3622,1194.626
us,2031,80.5034,1203.885
us,2032,80.6548,1214.681
us,2033,80.8054,1218.948
us,2034,80.9554,1247.808
us,2035,81.1045,1233.901
us,2036,81.2529,1230.671
us,2037,81.4005,1243.347
us,2038,81.5475,1255.777
us,2039,81.6832,1225.411
us,2040,81.8287,1228.832
us,2041,81.9658,1229.902
us,2042,82.1072,1277.302
us,2043,82.2506,1250.309
us,2044,82.3931,1242.213
us,2045,82.5425,1239.774
us,2046,82.6909,1231.629
us,2047,82.8312,1265.999
us,2048,82.9607,1249.988
us,2049,83.1068,1267.038
us,2050,83.2351,1277.326
us,2051,83.3725,1290.91
us,2052,83.5164,1272.146
us,2053,83.6499,1284.4
us,2054,83.7824,1236.266
us,2055,83.9239,1216.607
us,2056,84.0551,1230.956
us,2057,84.1787,1278.792
us,2058,84.3086,1309.694
us,2059,84.4309,1277.632
us,2060,84.5753,1244.141
us,2061,84.7029,1280.641
us,2062,84.8298,1283.7
us,2063,84.9558,1281.168
us,2064,85.0811,1253.262
us,2065,85.2058,1273.686
us,2066,85.3294,1298.509
us,2067,85.4501,1320.283
us,2068,85.5572,1311.67
us,2069,85.685,1339.829
us,2070,85.8056,1298.521
us,2071,85.9169,1351.517
us,2072,86.0274,1303.779
us,2073,86.146,1332.836
us,2074,86.2695,1313.361
us,2075,86.3839,1379.722
us,2076,86.4915,1347.774
us,2077,86.6067,1327.878
us,2078,86.7327,1328.957
us,2079,86.8384,1301.489
us,2080,86.9544,1292.368
us,2081,87.0664,1394.436
us,2082,87.1807,1330.209
us,2083,87.2831,1332.527
us,2084,87.4035,1322.162
us,2085,87.5233,1260.269
us,2086,87.6367,1311.092
us,2087,87.7491,1313.437
us,2088,87.8658,1357.308
us,2089,87.9739,1322.344
us,2090,88.0887,1294.357
us,2091,88.195,1325.648
us,2092,88.308,1325.736
us,2093,88.42,1310.374
us,2094,88.5308,1333.164
us,2095,88.6406,1316.417
us,2096,88.7424,1279.93
us,2097,88.8504,1297.348
us,2098,88.9573,1258.983
us,2099,89.0562,1277.619
us,2100,89.1705,1226.443
